"","Item","Mean","SD","Time series SE","2.5%","X50.","X97.5.","CV"
"1","R.msy",-28401760.6052437,1572591683.87296,28711467.9194648,116723.431372533,228154.732421168,957875.864407497,-55.3695140850747
"2","S.eq",200908.537976156,402894.278110919,7355.59075254074,102582.841124818,154032.639076693,463849.700301103,2.00536165445958
"3","S.max",106270.705412464,318070.468055575,5806.05067440218,40524.6574737532,71539.6824999208,295058.080496043,2.99302114181948
"4","S.msy",71076.4199178826,164202.614116211,2997.71454341888,34075.2178838061,52643.6612491636,165892.678757299,2.31022629313521
"5","U.msy",0.735673869009769,0.118171533598372,0.00215591396202634,0.514649104825815,0.74740090534564,0.888434034062684,0.160630326257793
"6","alpha",5.84037782634886,2.93877870986568,0.0511649269539229,2.01229233107265,5.14595911622658,13.8474636277693,0.503182978438036
"7","beta",0.0000139485920180726,0.0000053414989783372,0.0000000975344547681045,0.00000338917741173449,0.0000139782577552059,0.0000246763345993399,0.382941803116504
"8","lnalpha",1.65050657916772,0.479153144041054,0.00860930948207843,0.699274484468082,1.63821176285194,2.62810203993023,0.290306715579814
"9","lnalpha.c",2.19463770792409,0.59164088642817,0.0104235844236054,1.25325848700441,2.13206008076297,3.45156948328296,0.269584763030343
"10","phi",0.578262881996699,0.150145809127062,0.00275367790684688,0.266688741426673,0.581512339385987,0.859782074029816,0.259649743743917
"11","resid.red.0",-0.0527567498113378,0.812705087418475,0.0152476261274604,-1.63913835979781,-0.0604357131502115,1.56640328425091,-15.4047603448804
"12","sigma.red",1.01222905907563,0.252340672003519,0.00461651949223673,0.709761180708271,0.956675923185823,1.66254514355288,0.249292064618217
"13","sigma.white",0.78001318074272,0.102963324365251,0.0018801482544307,0.613793844599961,0.768580982231816,1.00796230418771,0.132002031385175
